,country,age_group,purpose,main_activity,info_source,tour_arrangement,package_accomodation,package_food,package_transport_tz,package_insurance,payment_mode,first_trip_tz,total_cost
0,SWIZERLAND,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,674602.5
1,UNITED KINGDOM,25-44,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,Cash,Yes,3214906.5
2,UNITED KINGDOM,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3315000.0
3,UNITED KINGDOM,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7790250.0
4,CHINA,1-24,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,1657500.0
5,UNITED KINGDOM,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,No,No,No,Cash,Yes,120950.0
6,SOUTH AFRICA,45-64,Business,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,466140.0
7,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,3480750.0
8,NIGERIA,25-44,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,994500.0
9,INDIA,25-44,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,Yes,2486250.0
10,BRAZIL,25-44,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,1117155.0
11,CANADA,45-64,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,8121750.0
12,CANADA,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,331500.0
13,MALT,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,11346650.0
14,MOZAMBIQUE,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,497250.0
15,RWANDA,65+,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,331500.0
16,AUSTRIA,45-64,Visiting Friends and Relatives,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,No,2000000.0
